% Model:              com39 AlGaAs SiO2.mph
% Version:            COMSOL 6.3.0.290
% Date:               Jun 15 2025, 01:55
% Table:              wd800 Dp v3 com39 AlGaAs SiO2 - Disp v3
% wcor (nm)                                       wlp (nm)                                          Effective mode index (1)                          frp (1/s)                                         omp (rad/s)                                       rneff (1)                                         beta (1/m)                                        ng_beta (1)                                       ng_rneff (1)
800                                               1200                                              3.0371586369993677                                2.498270483333333E14                              1.5697096394240442E15                             3.0371586369993677                                1.590252543630667E7                               1.3428698323378673E-15                            8.881784197001252E-16
800                                               1220                                              3.0251455130765317-4.0453681746054645E-16i        2.4573152295081962E14                             1.5439766945154532E15                             3.0251455130765317                                1.5579958885116976E7                              0                                                 0
800                                               1240                                              3.0132398379951026-7.637529119031147E-16i         2.4176811129032253E14                             1.5190738446039135E15                             3.0132398379951026                                1.5268342158950822E7                              0                                                 0
800                                               1260                                              3.0014298142182536-1.8750084912204877E-15i        2.379305222222222E14                              1.4949615613562325E15                             3.0014298142182536                                1.4967095007322924E7                              9.870093267683327E-16                             8.881784197001252E-16
800                                               1280                                              2.9897046629550488-3.2596217545500743E-15i        2.3421285781249997E14                             1.4716027869600412E15                             2.9897046629550488                                1.4675678446160512E7                              -5.092958178940653E-16                            -4.440892098500626E-16
800                                               1300                                              2.9780545216431005-5.746914829226426E-15i         2.3060958307692303E14                             1.448962744083733E15                              2.9780545216431005                                1.439359108797512E7                               0                                                 4.440892098500626E-16
800                                               1320                                              2.966470353314552-1.1326236943027028E-14i         2.2711549848484847E14                             1.4270087631127675E15                             2.966470353314552                                 1.4120365862219566E7                              0                                                 0
800                                               1340                                              2.954943866296243-2.0465961946122894E-14i         2.2372571492537312E14                             1.405710124857353E15                              2.954943866296243                                 1.385556707780074E7                               0                                                 0
800                                               1360                                              2.9434674429213077-3.550493574866523E-14i         2.2043563088235294E14                             1.3850379171388628E15                             2.9434674429213077                                1.3598787786415169E7                              5.749472319194719E-16                             4.440892098500626E-16
800                                               1380                                              2.9320340761177848-6.321349108073958E-14i         2.1724091159420288E14                             1.364964903846995E15                              2.9320340761177848                                1.3349647411024012E7                              5.919817844222764E-16                             4.440892098500626E-16
800                                               1400                                              2.9206373129001073-1.0998470868028042E-13i        2.1413746999999997E14                             1.3454654052206092E15                             2.9206373129001073                                1.3107789608581727E7                              0                                                 -4.440892098500626E-16
800                                               1420                                              2.909271203923927-1.8789283542490497E-13i         2.1112144929577462E14                             1.3265151882456712E15                             2.909271203923927                                 1.2872880340208087E7                              0                                                 4.440892098500626E-16
800                                               1440                                              2.897930258378857-3.1701346981458E-13i            2.081892069444444E14                              1.3080913661867032E15                             2.897930258378857                                 1.2644606125470258E7                              -6.445775195221763E-16                            -1.3322676295501878E-15
800                                               1460                                              2.8866094035913634-5.274897422072668E-13i         2.0533729999999997E14                             1.2901723063759268E15                             2.8866094035913634                                1.242267246041896E7                               6.626067904193051E-16                             4.440892098500626E-16
800                                               1480                                              2.8753039487925407-8.671576532831669E-13i         2.025624716216216E14                              1.2727375454789548E15                             2.8753039487925407                                1.220680238157347E7                               6.80884740915015E-16                              8.881784197001252E-16
